文章发表时间,文章标题(article_title),文章类型,模型,文章摘要(article_abstract),文章关键词(article_keyword)
2018-08-05,基于广义随机Petri网的突发事件网络舆情演化模型,舆情演化分析,马尔科夫链 广义随机Petn网,"【目的/意义】准确掌握突发事件网络舆情的演化规律,提高政府应对能力,避免事态恶化是刻不容缓的课题。【方法/过程】本文首先从生命周期和社会燃烧视角,将突发事件网络舆情演化的各个阶段分别按照""燃烧物质、助燃剂、点火物质""集合形式进行结构化描述,探究演化过程中各阶段的关键属性以及属性之间的紧密联系。在此基础上根据广义随机Petri网理论,构建突发事件网络舆情演化的GSPN模型。最后以""山东非法疫苗事件""为例从事件代表性、谣言煽动性、情绪交融性三个方面评测演化系统的性能。【结果/结论】验证模型有效性,揭示其中的变动规律及均衡状态,为相关部门引导舆情良性发展,防范舆情失控提供决策参考。","[""网络舆情"",""社会燃烧理论"",""马尔科夫链"",""广义随机Petri网""]"
2018-08-05,基于循环神经网络的网络舆情趋势预测研究,舆情预测,循环神经网络,"【目的/意义】网络舆情预测由于对指导政府工作,维护社会稳定具有很高的现实意义,一直是网络安全领域研究工作的关注重点。但是网络舆情演化趋势复杂,影响因素众多,前人工作多考虑了单变量因素,忽视了多因素对趋势的影响,且前人采用的传统模型由于自身的局限性,针对非线性场景的预测很难收到较好效果。【方法/过程】为解决前人研究的不足,本文设计了一种基于循环神经网络的自适应学习率的网络舆情模型,根据舆情数据特点选取了多种特征构建了循环神经网络序列生成模型,针对循环神经网络模型收敛困难的问题,通过连续最优掷币策略自适应调节学习率来提高训练速度和预测精度。【结果/结论】实验结果表明,与传统方式和普通神经网络相比,本文方法有着更好的舆情预测效果。","[""网络舆情"",""循环神经网络"",""时间序列"",""舆情预测""]"
2018-08-05,新媒体环境下网络舆情用户情感演化模型研究——基于情感极性及情感强度理论,舆情演化分析,情感极性理论,"【目的/意义】对新媒体环境下网络舆情用户情感进行研究,能够剖析用户情感演化规律,从而有助于采取针对性措施对舆情信息传播进行合理控制。【方法/过程】本文基于情感极性及情感强度理论构建新媒体环境下网络舆情用户情感演化模型,以微博平台为例进行情感极性和情感强度分析用户情感演化特征及波动规律。【结果/结论】""江歌案""微博热点话题主要呈现负向情感,其比例远高于正向情感和中性情感;情感值与极性值都随着极性值的增加而增加,话题在12月11日负向情感值与极性值达到最低。","[""新媒体"",""网络舆情"",""情感极性"",""情感强度"",""情感演化""]"
2018-08-05,信息公开视阈下我国网络信息舆情管理策略模型研究,舆情应对方法,I-SCR舆情管理模型,"【目的/意义】提出""I-SCR""网络舆情管理模型,希望从政府、媒体、公众三者之间的互动关系来提出网络舆情管理完善对策。【方法/过程】将维克利""S-C-R""信息交流模式引入网络舆情信息传播情境,并针对该模型中舆情信息从政府发出(I-S)、从渠道发出(I-C)、从公众发出(I-R)三方面分别探讨网络舆情管理策略。【结果/结论】信息公开视域下的网络舆情管理策略要求我们必须构建政府、媒体、公众三者间的良性信息互动关系,使信息在三者间的传递达到动态平衡。","[""网络舆情"",""信息公开"",""信息交互"",""策略模型""]"
2018-07-30,SNA视域下体育突发事件网络舆情的形成及结构分析,舆情成因分析 舆情特征分析,SNA,"识别体育突发事件网络舆情传播的结构及特征,解析网络舆情发展的重要节点,有助于从舆情源头疏导、管理负面舆情,增强体育管理部门应对突发事件网络舆情的效率与效果。本文以""6·23国乒罢赛门""为案例,结合生命周期理论阐述了该事件网络舆情的形成;在社会网络分析视域下,分析该事件网络舆情的网络拓扑结构,揭示体育突发事件网络舆情的传播特征,为体育突发事件的舆情管理提供理论依据。研究发现:(1)体育突发事件网络舆情历经""形成-爆发-扩散-衰退""四个阶段;(2)网络舆情传播结构的整体密度不高,节点间存在普遍的交流关系,但紧密度一般;(3)节点间距离短,信息传播速度快;(4)存在凝聚子群,促生出多中心、多主体的传播网络结构;(5)有结构洞存在但约束力相对较小,信息多为直接传播,个体位置和角色相对独立。","[""体育突发事件"",""网络舆情"",""舆情传播特征"",""SNA""]"
2018-07-25,计算机文本信息挖掘技术在网络安全中的应用,网络安全与文本挖掘,文本挖掘,"21世纪是信息大爆炸时代,信息技术已在社会的多个方面得到广泛应用。信息技术改变了人们的信息传导方式,但安全隐患也随之产生。笔者概述了计算机文本挖掘技术的方法,并结合工作经验,分析计算机文本信息挖掘技术在网络安全中的应用,以期对今后的工作开展有所帮助。","[""计算机文本挖掘技术"",""网络安全"",""网络环境""]"
2018-07-15,面向政务微博的社会治理建模与实证研究,显性舆情与隐性舆情,探索性数据分析,"[目的/意义]作为""互联网+政务服务""的产物,政务微博功能综合、用户众多、信息海量、诉求多元的特点为社会治理提供了新的视角。[方法/过程]通过从数据库中随机抽取的2 000条政务微博作为研究对象,运用SPSS19.0分析政务微博在社会治理中的作用机理;使用案例分析法,选取@中央气象台、@问政银川、@北京微博群,来实证研究基于内容的可视化、基于时间线条的效率值、基于突发事件的微博群效应在社会治理的独特运作模式。[结果/结论]结果表明,政务微博在预测网络舆情、创新社会治理方面具有显著的正向作用,优质的政务微博运营理念有助于促成信息在交互场景下实现多方谋划(共建)、广泛参与(共治)、共同享有(共享)的社会化机制,以期能为政府更好地运用新媒体""听民意、惠民生、解民忧""提供一定的借鉴。","[""互联网+政务服务"",""政务微博"",""社会治理"",""突发事假"",""网络舆情"",""实证研究"",""运营""]"
2018-07-15,基于意见领袖的网络舆情引导机制研究,舆情引导机制,信度分析,"互联网技术的应用为人们提供了更加广阔的沟通和交流平台,同时也给社会舆论的引导造成一定的压力。基于意见领袖的概念及内涵对网络舆论领袖的构建及特征,实证分析意见领袖的各个特征变量对网络舆论的影响。研究结果显示,意见领袖下的网络舆论引导策略能够更好地对网络舆情进行管控,防止网络舆情危机的产生。","[""意见领袖"",""网络舆情"",""引导策略"",""信度分析""]"
2018-07-15,档案学视角下网络舆情治理模式嬗变与重构符号化分析,舆情特征分析 舆情演化分析,大数据分析,"大数据背景下的社会舆情正在发生巨大变化,社会舆情管理变得日益复杂和重要,如何准确把握社会舆情的内在特征及其演进过程中的潜在规律,实现社会舆情大数据档案在管理模式和收集技术上的创新,对于新形势下做好社会舆情引导工作,加强和改进意识形态内容建设,牢牢掌握意识形态工作领导权具有重要的理论意义和实践价值。","[""大数据"",""网络舆情"",""治理模式""]"
2018-07-10,苏州利用大数据提升政府网络舆情治理水平的对策研究,舆情应对方法,大数据分析,"信息化时代网络舆情的难以管理是各地政府都面临的难题。苏州走在现代化城市发展的前沿,大数据的运用为苏州各行业的发展增光添彩。文章顺应大数据时代的新要求,将大数据运用到网络舆情的管理,结合政府部门创新变革管理机制,是实现网络舆情管理水平提升的重要举措。","[""大数据"",""网络舆情"",""舆情管理"",""政府引导""]"
